项目,发布时间,供应商（乙方）,法定代表人,联系方式,合同金额（元）
关于打印/复印纸的框架协议合同公告,2025-05-16 08:54:39,上海梓岳信息技术有限公司,蔡晓丹(男),18601713086,2494.00
2025-2027排水管道设施维护工作检查招标项目的合同公告,2025-05-16 08:48:25,上海珠宇工程咨询管理有限公司,朱敏(男),021-63225484,1197675.00
关于台式整机的框架协议合同公告,2025-05-16 08:42:38,上海忆俊电子科技有限公司,时嘉玮(男),13701739067,46800.00
第八届长三角国际创新挑战赛及2025年火炬科技成果直通车（上海站）的合同公告,2025-05-15 20:56:45,科寻科汇（上海）科技服务有限公司,陈超(男),021-63580023,3000000.00
关于2025年复印纸采购的框架协议合同公告,2025-05-15 17:49:43,上海政采数码技术有限公司,章思虹(女),021-63850090,6930.00
上海市闵行区人民法院电子卷宗随案生成服务的合同公告,2025-05-15 16:53:25,上海强然数码科技有限公司,贾朝东(男),18117283618,2697000.00
关于打印/复印纸的框架协议合同公告,2025-05-15 16:44:29,上海邦邻智能信息技术发展有限公司,檀丽娟(女),13818749617,7975.00
关于打印/复印纸的框架协议合同公告,2025-05-15 16:38:55,上海溢孚实业有限公司,沈卓(女),13512146870,6850.00
751基地2、3、4号楼应急备勤用房修缮项目的合同公告,2025-05-15 16:37:36,上海慷运建设工程有限公司,傅国荣(男),13451605232,3885890.01
上海市刑事科学技术研究院物业管理服务公告,2025-05-15 16:37:12,上海韦思物业有限公司,张叶(男),021-22028143,3570000.00
关于打印/复印纸的框架协议合同公告,2025-05-15 16:36:38,上海溢孚实业有限公司,沈卓(女),15821341868,139104.00
基于云边协同开放架构的综合能源运行控制系统研发平台的合同公告,2025-05-15 16:30:50,上海电科院技术有限公司,吴业华(男),021-61655060,1430000.00
闵行法院洗衣设备采购项目的合同公告,2025-05-15 16:25:55,上海中施机械设备有限公司,沈新华(男),18117283618,929900.00
视频会议系统升级改造的合同公告,2025-05-15 16:24:16,上海长江计算机有限公司,潘燚(男),021-52397000,2578000.00
关于打印/复印纸的框架协议合同公告,2025-05-15 15:51:04,晨省纸业（上海）有限公司,郭彦国(男),13310120781,11020.00
关于开展地方金融组织审计服务的框架协议合同公告,2025-05-15 15:49:56,上海华申会计师事务所有限公司,沈国强(男),18201712027,300000.00
关于制冷空调设备的框架协议合同公告,2025-05-15 15:43:51,上海东长空调家电有限公司,沈伟(男),13122522994,170697.00
关于资产评估服务的合同公告,2025-05-15 15:43:42,上海信达资产评估有限公司,韩世新(男),021-56164364,11500.00
关于台式整机的框架协议合同公告,2025-05-15 15:26:50,上海敏挺信息技术有限公司,陈宁(男),021-28957551,476780.00
关于引导基金管理机构绩效考核服务的框架协议合同公告,2025-05-15 15:26:34,上海广汇杰工程造价咨询有限责任公司,胡运华(男),02168286326,149100.00
机场分局物业管理费的合同公告,2025-05-15 15:25:16,上海学校餐饮服务有限公司,丰帆(女),15902113395,5050000.00
关于台式整机的框架协议合同公告,2025-05-15 15:22:06,上海敏挺信息技术有限公司,陈宁(男),021-28957551,76570.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-05-15 15:21:09,上海伟申工程造价咨询有限公司,倪宏斌(男),021-53016207,250000.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-05-15 15:13:16,上海名泰投资管理咨询有限公司,张昕婷(女),021-53016207,200000.00
关于非营利性质义务教育阶段学科类培训机构及托幼机构的专项财务审计的框架协议合同公告,2025-05-15 14:28:24,上海众垚会计师事务所（普通合伙）,高瑾(女),021-55511128,298000.00
关于会计审计的框架协议合同——2024年医疗中心年报审计服务公告,2025-05-15 14:16:10,上海天城会计师事务所有限公司,陈其(男),021-67126666,30000.00
关于会计审计的框架协议合同公告,2025-05-15 13:55:43,上海中财信会计师事务所有限公司,陈怀谷(男),18001606633,4000.00
关于复印纸的框架协议合同公告,2025-05-15 13:48:00,上海咏炜商贸有限公司,王江(男),18116085710,9940.00
上海地质和国土资源业务大系统（2025年升级改造）公告,2025-05-15 13:44:03,上海市数字证书认证中心有限公司,李小山(男),021-56615047,5390000.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-05-15 13:36:23,上海华政一页税务师事务所有限公司,徐方杰(男),021-55050215,446000.00
理光A3彩色复印机框架协议采购合同公告,2025-05-15 13:26:26,上海志诚泰和信息技术有限公司,朱雨(男),18816512009,25000.00
关于会计审计的框架协议合同公告,2025-05-15 13:22:02,上海立信佳诚东审会计师事务所有限公司,曾福娟(女),021-23119261,44600.00
物业和宿舍服务费公告,2025-05-15 12:33:09,上海真方物业管理有限公司,施明(男),021-64551026,2942828.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-15 11:46:04,上海梓岳信息技术有限公司,蔡晓丹(男),18601713086,20000.00
关于台式整机的框架协议合同公告,2025-05-15 11:39:53,上海翎誊信息技术有限公司,朱美丽(女),13020157198,58500.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-15 11:35:12,上海梓岳信息技术有限公司,蔡晓丹(男),18601713086,9200.00
对浦江国家实验室财政资助经费专项审计公告,2025-05-15 11:33:21,上海行远会计师事务所（普通合伙）,何晓元(男),15771372597,97290.00
关于物业管理服务的框架协议合同公告,2025-05-15 11:19:57,上海仰宏物业管理有限公司,徐伟(男),13818131237,285476.40
关于打印/复印纸的框架协议合同公告,2025-05-15 11:08:44,上海淼跃商贸有限公司,陈水河(男),13918503016,816.00
关于打印/复印纸的框架协议合同公告,2025-05-15 11:07:58,上海淼跃商贸有限公司,陈水河(男),13918503016,4182.40
关于台式整机的框架协议合同公告,2025-05-15 11:05:18,上海政采数码技术有限公司,章思虹(女),18310038099,4980.00
上海市儿童福利院太阳能热水系统购置项目的合同公告,2025-05-15 11:01:50,上海阿尔西空调系统服务有限公司,殷尧其(男),19822748085,1429800.00
物业管理费（南西馆）公告,2025-05-15 10:51:43,上海浦江物业有限公司,傅其昌(男),021-31063808,1306365.65
上海市安全生产基础信息平台大系统（2025年升级改造）公告,2025-05-15 10:51:38,上海宝信软件股份有限公司,夏雪松(男),021-23171517,990000.00
关于台式整机的框架协议合同公告,2025-05-15 10:51:16,上海政采数码技术有限公司,章思虹(女),18310038099,28950.00
上海大学宝山校区学生宿舍T、Y、Z、V、新世纪11幢维修及教学综合楼J维修工程项目建设管理服务的合同公告,2025-05-15 10:47:24,上海上咨建设工程咨询有限公司,陶中文(男),18601600033,998000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-15 10:40:05,上海逸明恒业数码技术有限公司,冯继芸(女),021-54900126,3500.00
关于会计审计的框架协议合同公告,2025-05-15 10:39:54,上海财瑞会计师事务所有限公司,李莉(女),021-23119261,118000.00
关于一体机的框架协议合同公告,2025-05-15 10:36:26,上海宝发数码科技有限公司,宋海凌(男),021-64763038,678600.00
对上海合成生物学创新中心政府资助经费审计合同公告,2025-05-15 10:28:53,上海上审会计师事务所有限公司,潘久文(男),15771372597,22400.00
2025年金山法院业务档案寄存项目的合同公告,2025-05-15 09:55:46,上海科智档案信息技术有限公司,陈耀坤(男),021-57969103,1153100.00
关于显示器的框架协议合同公告,2025-05-15 09:50:31,上海宜庄智能科技有限公司,张晓涛(女),021-65560567,214200.00
关于碎纸机的框架协议合同公告,2025-05-15 09:41:33,上海肃诚办公设备有限公司,王震华(男),13386092287,3876.00
关于资产评估服务的框架协议合同公告,2025-05-15 09:39:28,上海立信资产评估有限公司,杨伟暾(男),13795383553,15000.00
关于笔记本电脑的框架协议合同公告,2025-05-15 09:38:22,上海忆俊电子科技有限公司,时嘉玮(男),13701739067,7450.00
关于资产评估服务的框架协议合同公告,2025-05-15 09:37:34,上海立信资产评估有限公司,杨伟暾(男),13795383553,58000.00
驾驶员租赁服务的合同公告,2025-05-15 09:29:44,上海强生人力资源有限公司,张清磊(男),021-64455555,1363260.00
关于显示器的框架协议合同公告,2025-05-15 09:17:43,上海和想科技有限公司,崔传杰(女),15221019823,6996.00
关于打印/复印纸的框架协议合同公告,2025-05-15 09:11:27,上海政采数码技术有限公司,章思虹(女),18939854005,53988.00
上海市市场监督管理局2025年质量监督抽查（胶粘剂、卫浴家具、床垫产品等）项目（包件4：胶粘剂质量监督抽查）的合同公告,2025-05-14 22:20:00,上海建科检验有限公司,王冰(男),021-64220000,98000.00
上海市市场监督管理局2025年质量监督抽查（胶粘剂、卫浴家具、床垫产品等）项目（包件8：石材产品质量监督抽查）的合同公告,2025-05-14 22:18:43,上海建科检验有限公司,王冰(男),021-64220000,150000.00
关于会计审计的框架协议合同公告,2025-05-14 21:40:44,上海明远会计师事务所（普通合伙）,张能明(男),13636657824,80000.00
关于笔记本电脑的框架协议合同公告,2025-05-14 16:54:41,上海至正科技有限公司,胡家明(男),13310059546,8950.00
关于台式整机的框架协议合同公告,2025-05-14 16:53:50,上海至正科技有限公司,胡家明(男),13310059546,17550.00
关于服务器/Server的框架协议合同公告,2025-05-14 16:53:25,上海冠世信息技术有限公司,王乐乐(男),15800338159,490000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-14 16:52:47,上海至正科技有限公司,胡家明(男),13310059546,15200.00
关于服务器/Server的框架协议合同公告,2025-05-14 16:51:53,上海冠世信息技术有限公司,王乐乐(男),15800338159,414000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-14 16:13:21,上海御成数码科技有限公司,陈杨阳(女),021-61655060,2489.00
漕泾东航道支线航道及金山航道维护疏浚项目疏浚土倾倒区选划的合同公告,2025-05-14 16:13:12,上海东海海洋工程勘察设计研究院有限公司,郭伟其(男),13681892352,4430000.27
关于其他会计服务的框架协议合同公告,2025-05-14 16:05:01,上海新正光会计师事务所有限公司,张志芳(男),021-63513526,64000.00
关于资产评估服务的框架协议合同公告,2025-05-14 15:59:13,上海睿财资产评估事务所（有限合伙）,李英(女),13361862388,50000.00
关于资产评估服务的框架协议合同公告,2025-05-14 15:48:06,上海强睿资产评估有限公司,梁红福(男),13501695713,6900.00
关于会计审计的框架协议合同公告,2025-05-14 15:44:47,上海方宏会计师事务所（普通合伙）,付翔(男),021-64455555,20000.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-05-14 15:43:04,上海方宏会计师事务所（普通合伙）,付翔(男),18001682741,60480.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-14 15:38:57,军睿科技（上海）有限公司,牛宏伟(男),15800338159,4990.00
关于台式整机的框架协议合同公告,2025-05-14 15:38:05,上海袁启信息科技有限公司,袁鹏(男),15201892206,13000.00
关于笔记本电脑的框架协议合同公告,2025-05-14 15:34:24,上海仉域实业有限公司,黄磊(男),13636658329,15999.99
上海市环境监测中心滩浒岛大气常规自动监测设备采购的合同公告,2025-05-14 15:31:14,上海科德环保测试技术咨询服务有限公司,王建翔(男),021-24011982,1368800.00
上海市卫生健康技术评价中心食堂管理费用的合同公告,2025-05-14 15:31:13,上海神农氏餐饮有限公司,朱良忠(男),18918706249,1047744.00
关于彩色激光多功能一体机的框架协议合同公告,2025-05-14 15:31:12,上海绮馨实业有限公司,李彭飞(男),13636378591,9000.00
关于其他印刷品的框架协议合同公告,2025-05-14 15:28:03,上海钦州环保经营服务部,夏宁宁(女),021-64085119,63300.00
关于打印/复印纸的框架协议合同公告,2025-05-14 15:27:29,史泰博（上海）有限公司,张潮涌(男),无,2986.80
关于其他印刷服务的框架协议合同公告,2025-05-14 15:03:03,上海华教印务有限公司,夏洁成(男),18918889000,44900.00
关于其他印刷服务的框架协议合同公告,2025-05-14 15:02:32,上海华教印务有限公司,夏洁成(男),18918889000,14175.00
关于制冷空调设备的框架协议合同公告,2025-05-14 14:55:57,上海菱格空调技术工程有限公司,朱宝华(男),021-54953330,6390.00
关于制冷空调设备的框架协议合同公告,2025-05-14 14:38:37,上海电欣冷气工程有限公司,张文美(男),13564161077,4080.00
